window,top_col,target_col,T_in_col,n,bias_C,mae_C,rmse_C,max_abs_error_C,sim_amp_C,obs_amp_C,amp_err_C,corr,score
CAM_WINDOW,T3Kb,T3Ke,T1Ka,3464,-0.14266969277690003,0.3685830987833312,0.5503607334061608,1.4435210407958472,8.159774388662527,7.845507999999999,0.3142663886625279,0.9718121163812545,0.7074939277374247
CAM_WINDOW,T3Kd,T1Kd,T1Ka,3464,0.12886065207325467,0.40138751581138005,0.48112358628147245,1.1304695563438152,3.7841410805042415,2.8747739999999986,0.9093670805042429,0.9299475640270249,0.9358071265335939
CAM_WINDOW,T3Ka,T3Kd,T1Ka,3464,0.29301240945036394,0.6384847729101824,0.7295554575675155,1.3685220295946543,4.356725342338734,3.8337749999999993,0.5229503423387349,0.8261635476684758,0.991030628736883
CAM_WINDOW,T1Kc,T3Ke,T1Ka,3464,-0.30934945494355665,0.4858555116699335,0.7443653972438313,1.9284391733617987,7.349804213367349,7.845507999999999,-0.49570378663264947,0.9535203391308391,0.9922172905601561
CAM_WINDOW,T1A,T1Kd,T1Ka,3464,-0.3811619824010458,0.5104877949536964,0.6680946034010634,1.8348885870302958,3.5305716363394595,2.8747739999999986,0.6557976363394609,0.8201312957548552,0.9959934215707938
CAM_WINDOW,T2A2,T1A,T1Ka,3464,-0.1722710192207242,0.7919783337088786,0.8876961082854469,1.779291611266057,4.823563953878022,4.474755000000002,0.34880895387802013,0.8001700749787064,1.062100585224457
CAM_WINDOW,T1Kb,T3Ke,T1Ka,3464,-0.19453951057346786,0.38754163764903443,0.5596544305378874,1.8373660312858462,6.830621678195655,7.845507999999999,-1.0148863218043438,0.976346653698171,1.0670975914400593
CAM_WINDOW,T1A,T3Kd,T1Ka,3464,-0.5700208349605586,0.647569738439526,0.9430712634636248,2.1209891449861935,3.5305716363394595,3.8337749999999993,-0.3032033636605398,0.7141921212770996,1.0946729452938948
CAM_WINDOW,T1Kd,T3Kd,T1Ka,3464,-0.21152338286663525,0.4501926402022145,0.5801346652412612,1.3467889950204537,2.7914215770746864,3.8337749999999993,-1.0423534229253129,0.857322138329876,1.1013113767039178
CAM_WINDOW,T3Kd,T1A,T1Ka,3464,0.6510362221949533,0.6554372926890178,0.7577299696987415,1.6901372365079368,3.7841410805042415,4.474755000000002,-0.6906139194957603,0.9270143560619036,1.1030369294466218
CAM_WINDOW,T3Kd,T3Ka,T1Ka,3464,-0.5954688755690541,0.5979310584817842,0.6730417699008336,1.4374418943421645,3.784141080504469,4.655486,-0.871344919495531,0.9853304039344807,1.1087142296485992
CAM_WINDOW,T3Kb,T3Kc,T1Ka,3464,-0.11982894306998161,0.7793387239297647,1.0621639725357803,2.961400468279443,8.159774388662527,8.261638999999999,-0.10186461133747216,0.8973580428455196,1.1130962782045164
CAM_WINDOW,T3Ka,T1A,T1Ka,3464,1.004046832131555,1.0040915289570873,1.0816811021343657,2.345056354020457,4.356725342338507,4.474755000000002,-0.11802965766149498,0.9472987776681975,1.1406959309651132
