datetime,model_theta_top,model_theta_mid,model_theta_bot,model_theta_mean,j_eva,j_pr,G_sol,rika_corrected_theta_2cm,rika_raw_theta_2cm,rika_corrected_theta_7cm,rika_raw_theta_7cm
2026-03-31 11:58:00,0.5466292069605643,0.4967263027525903,0.46340538023174926,0.5009237090623629,7.084273846720337e-05,0.0,339.0,0.5466941666666665,0.7809916666666665,0.4634058333333333,0.6620083333333333
2026-03-31 11:59:00,0.5457780017354258,0.49703683086244876,0.4633936770569759,0.5008878033603945,6.42238132892481e-05,0.0,533.0,0.5460058333333333,0.7800083333333334,0.4634,0.662
2026-03-31 12:00:00,0.5451861483582134,0.49735214344004025,0.4633876194584886,0.5008451309699953,6.478997377046237e-05,0.0,533.0,0.5467058333333332,0.7810083333333333,0.4634,0.662
2026-03-31 12:01:00,0.5446017021956887,0.49767225405189364,0.4633829449368244,0.5008003423325679,6.774430392941792e-05,0.0,533.0,0.5474,0.782,0.4634,0.662
2026-03-31 12:02:00,0.5438360010402178,0.4979953773618395,0.463378996931926,0.5007502151652979,8.328946618853817e-05,0.0,650.0,0.5474058333333334,0.7820083333333334,0.4634,0.662
2026-03-31 12:03:00,0.5413495185749738,0.49831717127837843,0.46337553118040276,0.5006371119899293,0.00020308281949564354,0.0,650.0,0.5480999999999999,0.7829999999999999,0.4640941666666666,0.6629916666666666
2026-03-31 12:04:00,0.5396487335305307,0.4986325858311907,0.4633724769665584,0.5005127809180856,0.00019894105412284846,0.0,714.0,0.5480999999999999,0.7829999999999999,0.4634058333333333,0.6620083333333333
2026-03-31 12:05:00,0.5385065858833956,0.49893749629675344,0.4633699105806948,0.5003976619415007,0.0001596223017148297,0.0,760.0,0.5481058333333333,0.7830083333333333,0.4640941666666666,0.6629916666666666
2026-03-31 12:06:00,0.5381895535178363,0.49922916257745487,0.46336805238549,0.5003135487494033,9.236855218995825e-05,0.0,740.0,0.5488058333333333,0.7840083333333334,0.4627116666666666,0.6610166666666666
2026-03-31 12:07:00,0.5364652861195867,0.4995060529592817,0.463367244999278,0.5002066339101146,0.0002024870844589754,0.0,740.0,0.5495116666666666,0.7850166666666667,0.46339416666666666,0.6619916666666668
2026-03-31 12:08:00,0.5347798216482789,0.49976749188177416,0.46336791456673093,0.5000761948912058,0.0002154128786690738,0.0,740.0,0.5508941666666667,0.7869916666666668,0.4640941666666666,0.6629916666666666
